name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users,mechanics
Burg der 1000 Spiegel,2009.0,2,4,20,6,193,5.97,9665,1.31,391.0,"Betting and Bluffing, Memory, Roll / Spin and Move"
TaskForce: Naval Tactics and Operations in the 1980's,1981.0,2,2,360,14,101,6.6,9666,3.27,338.0,"Hexagon Grid, Secret Unit Deployment"
Omaha Beachhead: Battle for the Bocage,1987.0,2,2,300,12,133,6.22,9667,2.86,681.0,"Dice Rolling, Hexagon Grid, Simulation"
Final Fantasy VIII: Triple Triad,1999.0,2,2,5,10,52,7.56,9668,2.0,61.0,"Pattern Building, Tile Placement"
Beer Empire,2016.0,2,4,120,12,124,6.27,9669,3.2,393.0,"Action Queue, Area Majority / Influence, Auction/Bidding, Set Collection, Worker Placement"
London After Midnight 2: Sherlock in Hell,2016.0,2,6,15,9,87,6.56,9670,1.33,193.0,"Card Drafting, Take That"
Global Powers,2003.0,2,5,120,12,82,6.61,9671,3.08,134.0,"Area Majority / Influence, Auction/Bidding, Voting"
Manassas,1980.0,2,4,240,0,36,8.65,9672,3.45,100.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control"
Fist of Dragonstones: The Tavern Edition,2018.0,3,6,60,8,87,6.55,9673,2.0,226.0,"Auction/Bidding, Set Collection"
Video Game High School,2014.0,2,4,30,7,138,6.39,9674,2.0,413.0,"Dice Rolling, Hand Management, Variable Player Powers, Worker Placement"
End of Empire: 1744-1782,2014.0,2,2,360,0,48,7.59,9675,2.82,282.0,"Hexagon Grid, Movement Points"
Mystick Domination,2000.0,2,5,30,12,105,6.43,9676,2.83,227.0,
Dork Tower,2003.0,2,6,60,12,347,5.88,9677,1.9,741.0,"Card Drafting, Dice Rolling, Point to Point Movement, Variable Player Powers"
Pharaoh Code,2011.0,2,5,20,10,227,6.04,9678,1.4,277.0,Dice Rolling
The Battle of Adobe Walls,2013.0,2,2,0,12,45,7.68,9679,2.78,264.0,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio / Combat Results Table, Simulation, Zone of Control"
Funkoverse Strategy Game: Tim Burton's The Nightmare Before Christmas,2020.0,2,4,60,10,50,7.81,9680,2.0,347.0,"Action Points, Dice Rolling, Grid Movement, Variable Player Powers"
Drôles de Zèbres,2004.0,2,2,23,9,106,6.36,9681,1.5,124.0,Tile Placement
El portero Baldomero,2017.0,3,8,20,10,79,6.66,9682,1.0,169.0,"Team-Based Game, Voting"
Kingpin,2009.0,2,2,30,15,172,6.16,9683,2.29,212.0,"Grid Movement, Hand Management, Tile Placement, Variable Player Powers"
Battleground Fantasy Warfare: Dwarves of Runegard,2006.0,2,2,60,12,47,7.44,9684,2.33,305.0,Variable Phase Order
A Song of Ice & Fire: Tabletop Miniatures Game - Night's Watch Starter Set,2018.0,2,2,60,14,37,8.43,9685,0.0,200.0,"Dice Rolling, Hand Management, Worker Placement"
Web and Starship,1984.0,2,3,120,12,112,6.37,9686,3.53,355.0,"Action Queue, Dice Rolling, Movement Template, Network and Route Building, Point to Point Movement, Ratio / Combat Results Table, Simulation"
